case_dir,system,fault_dir,run,rc_service,fault_type,files,inject_time,has_traces,traces_bytes,n_spans,n_services_traced,services_traced,trace_t0,trace_t1,inject_in_window,n_nodes,n_edges,acyclic,shared,rc_in_graph,orphan_parent_frac,has_simple_metrics,n_latency_cols,metric_services,sm_rows,sm_t0,sm_t1
/home/user/data/RE2/RE2-OB/checkoutservice_cpu/1,RE2-OB,checkoutservice_cpu,1,checkoutservice,cpu,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705354566,True,71632229,391997,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705353846,1705355285,True,7,9,True,currencyservice|productcatalogservice,True,1.9020240252806166e-05,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1441.0,1705353846.0,1705355286.0
/home/user/data/RE2/RE2-OB/checkoutservice_cpu/2,RE2-OB,checkoutservice_cpu,2,checkoutservice,cpu,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1708475361,True,36547839,199960,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1708474641,1708475399,True,7,9,True,currencyservice|productcatalogservice,True,0.0012568500993231117,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1186.0,1708474641.0,1708475570.0
/home/user/data/RE2/RE2-OB/checkoutservice_cpu/3,RE2-OB,checkoutservice_cpu,3,checkoutservice,cpu,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705623539,True,74594729,408211,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705622819,1705624258,True,7,9,True,currencyservice|productcatalogservice,True,0.0,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1441.0,1705622819.0,1705624259.0
/home/user/data/RE2/RE2-OB/checkoutservice_cpu/multi-source-data,RE2-OB,checkoutservice_cpu,multi-source-data,checkoutservice,cpu,.DS_Store|cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705354566,True,71632229,391997,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705353846,1705355285,True,7,9,True,currencyservice|productcatalogservice,True,1.9020240252806166e-05,False,,,,,
/home/user/data/RE2/RE2-OB/checkoutservice_delay/1,RE2-OB,checkoutservice_delay,1,checkoutservice,delay,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705666511,True,74050509,405229,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705665791,1705667231,True,7,9,True,currencyservice|productcatalogservice,True,2.36581243313294e-05,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1441.0,1705665791.0,1705667231.0
/home/user/data/RE2/RE2-OB/checkoutservice_delay/2,RE2-OB,checkoutservice_delay,2,checkoutservice,delay,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705668921,True,73535767,402454,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705668201,1705669640,True,7,9,True,currencyservice|productcatalogservice,True,5.289088346287192e-06,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1441.0,1705668201.0,1705669641.0
/home/user/data/RE2/RE2-OB/checkoutservice_delay/3,RE2-OB,checkoutservice_delay,3,checkoutservice,delay,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705671342,True,73979768,404907,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705670622,1705672062,True,7,9,True,currencyservice|productcatalogservice,True,0.0,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1441.0,1705670622.0,1705672062.0
/home/user/data/RE2/RE2-OB/checkoutservice_disk/1,RE2-OB,checkoutservice_disk,1,checkoutservice,disk,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705373910,True,71462981,391053,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705373190,1705374629,True,7,9,True,currencyservice|productcatalogservice,True,6.263821257775308e-05,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1441.0,1705373190.0,1705374630.0
/home/user/data/RE2/RE2-OB/checkoutservice_disk/2,RE2-OB,checkoutservice_disk,2,checkoutservice,disk,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705765528,True,74451729,407608,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705764808,1705766247,True,7,9,True,currencyservice|productcatalogservice,True,0.0,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1441.0,1705764808.0,1705766248.0
/home/user/data/RE2/RE2-OB/checkoutservice_disk/3,RE2-OB,checkoutservice_disk,3,checkoutservice,disk,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705767825,True,74962770,410342,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705767105,1705768545,True,7,9,True,currencyservice|productcatalogservice,True,1.556480796918168e-05,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1441.0,1705767105.0,1705768545.0
/home/user/data/RE2/RE2-OB/checkoutservice_loss/1,RE2-OB,checkoutservice_loss,1,checkoutservice,loss,cluster_info.json|inject_time.txt|logs.csv|logts.csv|metrics.csv|metrics_postprocess.log|pod-node-1.csv|pod-node-2.csv|simple_metrics.csv|traces.csv|tracets_err.csv|tracets_lat.csv,1705376266,True,70507878,385793,7,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,1705375546,1705376985,True,7,9,True,currencyservice|productcatalogservice,True,0.00024010266458761678,True,10.0,adservice|cartservice|checkoutservice|currencyservice|emailservice|frontend|paymentservice|productcatalogservice|recommendationservice|shippingservice,1441.0,1705375546.0,1705376986.0
